transaction_id,date,vendor_name,category,amount,currency,cost_center,gl_account,description,approved_by
TXN-001,2024-01-05,Microsoft Azure,Cloud Services,12500.00,USD,IT-001,6100,Monthly cloud infrastructure spend,Jane Smith
TXN-002,2024-01-08,Salesforce,Software Subscriptions,4200.00,USD,SALES-002,6110,CRM annual license Q1 installment,Bob Johnson
TXN-003,2024-01-10,WeWork,Facilities,8750.00,USD,HR-003,6200,Office space lease January,Alice Chen
TXN-004,2024-01-12,Dell Technologies,Capital Equipment,22000.00,USD,IT-001,1500,Server hardware purchase,Jane Smith
TXN-005,2024-01-15,AWS,Cloud Services,9800.00,USD,ENGG-004,6100,Engineering AWS environment,Carlos Rivera
TXN-006,2024-01-18,Deloitte,Professional Services,35000.00,EUR,FIN-005,6300,Q4 audit services,Maria Weber
TXN-007,2024-01-20,FedEx,Logistics,1250.00,USD,OPS-006,6400,Overnight shipments January,Tom Bradley
TXN-008,2024-01-22,Adobe,Software Subscriptions,2100.00,USD,MKTG-007,6110,Creative Cloud licenses,Lisa Park
TXN-009,2024-01-25,Cisco,Capital Equipment,18500.00,USD,IT-001,1500,Network switch upgrade,Jane Smith
TXN-010,2024-01-28,PricewaterhouseCoopers,Professional Services,28000.00,EUR,FIN-005,6300,Tax consulting services,Maria Weber
TXN-011,2024-02-03,Workday,Software Subscriptions,6400.00,USD,HR-003,6110,HCM platform Q1 installment,Alice Chen
TXN-012,2024-02-07,Google Cloud,Cloud Services,7200.00,USD,ENGG-004,6100,Data analytics platform,Carlos Rivera
TXN-013,2024-02-10,Staples,Office Supplies,890.00,USD,OPS-006,6500,Office supply replenishment,Tom Bradley
TXN-014,2024-02-14,LinkedIn,Marketing,5500.00,USD,MKTG-007,6600,Talent and advertising spend,Lisa Park
TXN-015,2024-02-18,Snowflake,Cloud Services,11300.00,USD,ENGG-004,6100,Data warehouse compute Q1,Carlos Rivera
TXN-016,2024-02-21,Oracle,Software Subscriptions,14800.00,USD,IT-001,6110,ERP license renewal,Jane Smith
TXN-017,2024-02-25,UPS,Logistics,980.00,USD,OPS-006,6400,Freight and courier services,Tom Bradley
TXN-018,2024-02-28,Stripe,Payment Processing,3100.00,USD,FIN-005,6700,Payment processing fees,Maria Weber
TXN-019,2024-03-05,GitHub,Software Subscriptions,1800.00,USD,ENGG-004,6110,GitHub Enterprise seats,Carlos Rivera
TXN-020,2024-03-10,Accenture,Professional Services,42000.00,EUR,EXEC-008,6300,Digital transformation consulting,David Moore
TXN-021,2024-03-15,Zoom,Software Subscriptions,2400.00,USD,HR-003,6110,Video conferencing annual plan,Alice Chen
TXN-022,2024-03-20,HP Inc,Capital Equipment,9600.00,USD,IT-001,1500,Laptop refresh batch Q1,Jane Smith
